name,diameter,weight,red,green,blue
orange,8.06,146.45,168.00,69.00,2.00
orange,8.06,146.45,153.00,70.00,2.00
orange,8.06,146.46,151.00,81.00,2.00
orange,8.06,146.46,164.00,88.00,16.00
orange,8.06,146.49,162.00,81.00,2.00
orange,8.06,146.50,157.00,70.00,2.00
orange,8.07,146.51,179.00,78.00,13.00
orange,8.07,146.56,154.00,73.00,2.00
orange,8.07,146.58,150.00,91.00,2.00
orange,8.07,146.58,168.00,98.00,2.00
orange,8.07,146.59,153.00,92.00,2.00
orange,8.07,146.59,157.00,94.00,5.00
orange,8.07,146.61,142.00,108.00,2.00
orange,8.07,146.61,156.00,86.00,5.00
orange,8.07,146.63,163.00,103.00,2.00
orange,8.07,146.63,157.00,74.00,2.00
orange,8.07,146.65,170.00,88.00,7.00
orange,8.07,146.65,154.00,86.00,12.00
orange,8.07,146.68,160.00,105.00,13.00
orange,8.07,146.71,173.00,93.00,2.00
orange,8.07,146.71,142.00,87.00,2.00
orange,8.07,146.71,156.00,95.00,2.00
orange,8.07,146.73,158.00,81.00,2.00
orange,8.07,146.73,172.00,94.00,2.00
orange,8.07,146.73,133.00,99.00,2.00
orange,8.08,146.75,171.00,69.00,8.00
orange,8.08,146.75,154.00,86.00,2.00
orange,8.08,146.75,157.00,78.00,2.00
orange,8.08,146.75,161.00,80.00,2.00
orange,8.08,146.75,151.00,97.00,16.00
orange,8.08,146.76,162.00,102.00,4.00
orange,8.08,146.78,160.00,73.00,10.00
orange,8.08,146.78,150.00,51.00,4.00
orange,8.08,146.80,158.00,82.00,6.00
orange,8.08,146.80,158.00,103.00,2.00
orange,8.08,146.80,161.00,99.00,5.00
orange,8.08,146.82,164.00,90.00,2.00
orange,8.08,146.82,153.00,90.00,10.00
orange,8.08,146.83,148.00,68.00,2.00
orange,8.08,146.83,180.00,85.00,2.00
orange,8.08,146.85,170.00,94.00,8.00
orange,8.08,146.86,163.00,96.00,11.00
orange,8.08,146.87,157.00,66.00,18.00
orange,8.09,146.88,155.00,85.00,7.00
orange,8.09,146.90,154.00,80.00,11.00
orange,8.09,146.90,155.00,96.00,2.00
orange,8.09,146.91,156.00,74.00,2.00
orange,8.09,146.94,171.00,61.00,20.00
orange,8.09,146.95,146.00,89.00,13.00
orange,8.09,146.96,158.00,76.00,2.00
orange,8.09,146.97,159.00,74.00,9.00
orange,8.09,146.97,145.00,89.00,13.00
orange,8.09,146.97,151.00,89.00,2.00
orange,8.09,146.98,173.00,65.00,18.00
orange,8.09,146.98,154.00,68.00,2.00
orange,8.09,147.00,151.00,70.00,2.00
orange,8.09,147.01,150.00,71.00,20.00
orange,8.09,147.01,159.00,80.00,4.00
orange,8.09,147.02,165.00,79.00,2.00
orange,8.09,147.02,161.00,90.00,6.00
orange,8.09,147.03,170.00,84.00,6.00
orange,8.09,147.03,159.00,101.00,6.00
orange,8.10,147.03,170.00,74.00,2.00
orange,8.10,147.04,150.00,75.00,2.00
orange,8.10,147.05,151.00,71.00,2.00
orange,8.10,147.05,157.00,106.00,2.00
orange,8.10,147.07,153.00,67.00,2.00
orange,8.10,147.07,145.00,76.00,16.00
orange,8.10,147.08,154.00,74.00,5.00
orange,8.10,147.10,155.00,80.00,20.00
orange,8.10,147.12,143.00,83.00,2.00
orange,8.10,147.14,160.00,76.00,2.00
orange,8.10,147.16,173.00,106.00,16.00
orange,8.10,147.16,156.00,63.00,7.00
orange,8.10,147.16,171.00,91.00,7.00
orange,8.10,147.18,171.00,95.00,12.00
orange,8.11,147.20,159.00,82.00,2.00
orange,8.11,147.22,174.00,82.00,16.00
orange,8.11,147.22,145.00,83.00,2.00
orange,8.11,147.23,150.00,69.00,9.00
orange,8.11,147.27,155.00,100.00,4.00
orange,8.11,147.28,135.00,86.00,13.00
orange,8.11,147.28,150.00,90.00,2.00
orange,8.11,147.30,146.00,63.00,2.00
orange,8.11,147.30,168.00,91.00,2.00
orange,8.11,147.30,142.00,80.00,5.00
orange,8.11,147.32,153.00,71.00,5.00
orange,8.11,147.34,158.00,83.00,2.00
orange,8.11,147.36,150.00,101.00,2.00
orange,8.11,147.36,157.00,79.00,18.00
orange,8.12,147.36,150.00,67.00,8.00
orange,8.12,147.37,150.00,83.00,2.00
orange,8.12,147.37,164.00,80.00,5.00
orange,8.12,147.38,167.00,88.00,12.00
orange,8.12,147.39,166.00,80.00,2.00
orange,8.12,147.41,160.00,80.00,38.00
orange,8.12,147.42,158.00,77.00,2.00
orange,8.12,147.45,157.00,96.00,2.00
orange,8.12,147.46,151.00,88.00,4.00
orange,8.12,147.46,165.00,99.00,3.00
orange,8.12,147.46,163.00,78.00,2.00
orange,8.12,147.46,168.00,94.00,2.00
orange,8.12,147.46,153.00,89.00,7.00
orange,8.12,147.47,182.00,95.00,2.00
orange,8.12,147.48,150.00,88.00,2.00
orange,8.12,147.49,172.00,76.00,12.00
orange,8.12,147.50,158.00,73.00,2.00
orange,8.13,147.51,157.00,73.00,35.00
orange,8.13,147.52,143.00,79.00,20.00
orange,8.13,147.53,139.00,81.00,2.00
orange,8.13,147.53,153.00,99.00,15.00
orange,8.13,147.55,155.00,75.00,2.00
orange,8.13,147.57,165.00,67.00,17.00
orange,8.13,147.57,166.00,89.00,21.00
orange,8.13,147.57,146.00,84.00,2.00
orange,8.13,147.58,163.00,80.00,3.00
orange,8.13,147.58,160.00,59.00,2.00
orange,8.13,147.59,169.00,92.00,2.00
orange,8.13,147.62,163.00,85.00,4.00
orange,8.13,147.64,141.00,87.00,2.00
orange,8.13,147.66,150.00,73.00,17.00
orange,8.13,147.66,171.00,72.00,7.00
orange,8.14,147.67,145.00,95.00,2.00
orange,8.14,147.68,160.00,80.00,2.00
orange,8.14,147.69,168.00,79.00,2.00
orange,8.14,147.69,155.00,90.00,2.00
orange,8.14,147.69,157.00,75.00,15.00
orange,8.14,147.73,156.00,61.00,18.00
orange,8.14,147.74,178.00,79.00,2.00
orange,8.14,147.75,160.00,76.00,2.00
orange,8.14,147.75,158.00,88.00,2.00
orange,8.14,147.75,160.00,71.00,2.00
orange,8.14,147.75,171.00,78.00,11.00
orange,8.14,147.77,168.00,73.00,9.00
orange,8.14,147.77,163.00,86.00,4.00
orange,8.14,147.81,165.00,109.00,2.00
orange,8.14,147.81,148.00,91.00,2.00
orange,8.14,147.82,153.00,99.00,2.00
orange,8.15,147.83,171.00,70.00,20.00
orange,8.15,147.83,151.00,74.00,12.00
orange,8.15,147.85,158.00,83.00,20.00
orange,8.15,147.85,147.00,67.00,15.00
orange,8.15,147.86,151.00,72.00,3.00
orange,8.15,147.86,161.00,79.00,13.00
orange,8.15,147.87,166.00,77.00,10.00
orange,8.15,147.87,173.00,73.00,7.00
orange,8.15,147.92,157.00,88.00,2.00
orange,8.15,147.93,157.00,82.00,2.00
orange,8.15,147.94,146.00,84.00,9.00
orange,8.15,147.95,136.00,85.00,2.00
orange,8.15,147.95,164.00,73.00,12.00
orange,8.15,147.96,170.00,93.00,10.00
orange,8.15,147.99,151.00,95.00,2.00
orange,8.15,148.00,159.00,87.00,8.00
orange,8.16,148.00,171.00,70.00,12.00
orange,8.16,148.00,154.00,93.00,10.00
orange,8.16,148.02,165.00,92.00,13.00
orange,8.16,148.02,161.00,77.00,12.00
orange,8.16,148.02,160.00,99.00,7.00
orange,8.16,148.02,154.00,82.00,8.00
orange,8.16,148.02,160.00,96.00,11.00
orange,8.16,148.03,161.00,86.00,23.00
orange,8.16,148.03,173.00,54.00,21.00
orange,8.16,148.04,165.00,82.00,8.00
orange,8.16,148.05,152.00,71.00,2.00
orange,8.16,148.06,152.00,68.00,2.00
orange,8.16,148.07,162.00,78.00,6.00
orange,8.16,148.09,144.00,91.00,10.00
orange,8.16,148.10,149.00,105.00,2.00
orange,8.16,148.11,155.00,104.00,5.00
orange,8.16,148.12,169.00,75.00,2.00
orange,8.16,148.13,158.00,96.00,15.00
orange,8.16,148.14,162.00,92.00,9.00
orange,8.17,148.14,145.00,91.00,6.00
orange,8.17,148.15,159.00,84.00,7.00
orange,8.17,148.15,151.00,73.00,16.00
orange,8.17,148.15,149.00,74.00,17.00
orange,8.17,148.16,163.00,78.00,5.00
orange,8.17,148.17,153.00,75.00,2.00
orange,8.17,148.18,155.00,62.00,2.00
orange,8.17,148.19,139.00,90.00,8.00
orange,8.17,148.19,148.00,89.00,2.00
orange,8.17,148.19,139.00,85.00,9.00
orange,8.17,148.20,146.00,88.00,2.00
orange,8.17,148.21,155.00,62.00,10.00
orange,8.17,148.21,165.00,86.00,2.00
orange,8.17,148.22,166.00,76.00,5.00
orange,8.17,148.23,174.00,97.00,2.00
orange,8.17,148.25,151.00,86.00,2.00
orange,8.17,148.25,153.00,82.00,2.00
orange,8.18,148.27,149.00,91.00,2.00
orange,8.18,148.27,146.00,82.00,2.00
orange,8.18,148.28,162.00,85.00,14.00
orange,8.18,148.28,158.00,81.00,23.00
orange,8.18,148.28,157.00,84.00,2.00
orange,8.18,148.28,151.00,86.00,2.00
orange,8.18,148.28,171.00,73.00,24.00
orange,8.19,148.29,161.00,82.00,5.00
orange,8.19,148.32,149.00,72.00,11.00
orange,8.19,148.32,163.00,99.00,2.00
orange,8.19,148.33,154.00,99.00,11.00
orange,8.19,148.34,150.00,73.00,2.00
orange,8.19,148.36,156.00,88.00,13.00
orange,8.19,148.37,161.00,67.00,2.00
orange,8.19,148.37,173.00,62.00,9.00
orange,8.19,148.37,164.00,97.00,2.00
orange,8.19,148.38,156.00,97.00,10.00
orange,8.19,148.39,153.00,87.00,14.00
orange,8.19,148.39,167.00,81.00,2.00
orange,8.19,148.40,147.00,84.00,3.00
orange,8.19,148.40,145.00,56.00,15.00
orange,8.19,148.41,162.00,80.00,2.00
orange,8.19,148.42,179.00,66.00,2.00
orange,8.19,148.45,157.00,90.00,2.00
orange,8.19,148.45,158.00,94.00,2.00
orange,8.20,148.47,172.00,97.00,2.00
orange,8.20,148.48,169.00,63.00,2.00
orange,8.20,148.49,156.00,100.00,3.00
orange,8.20,148.50,155.00,84.00,21.00
orange,8.20,148.52,156.00,98.00,2.00
orange,8.20,148.52,171.00,79.00,2.00
orange,8.20,148.52,148.00,101.00,2.00
orange,8.20,148.54,161.00,95.00,6.00
orange,8.20,148.54,173.00,82.00,2.00
orange,8.20,148.54,154.00,76.00,11.00
orange,8.20,148.55,156.00,79.00,4.00
orange,8.20,148.56,163.00,82.00,2.00
orange,8.20,148.57,149.00,76.00,18.00
orange,8.20,148.59,159.00,99.00,2.00
orange,8.20,148.61,159.00,81.00,5.00
orange,8.21,148.61,176.00,79.00,18.00
orange,8.21,148.62,147.00,89.00,2.00
orange,8.21,148.62,143.00,93.00,2.00
orange,8.21,148.62,164.00,73.00,11.00
orange,8.21,148.63,154.00,77.00,2.00
orange,8.21,148.64,177.00,81.00,2.00
orange,8.21,148.65,157.00,82.00,16.00
orange,8.21,148.66,168.00,76.00,10.00
orange,8.21,148.67,140.00,54.00,2.00
orange,8.21,148.67,161.00,88.00,11.00
orange,8.21,148.68,153.00,70.00,5.00
orange,8.21,148.70,156.00,76.00,21.00
orange,8.21,148.70,143.00,78.00,21.00
orange,8.21,148.71,152.00,91.00,5.00
orange,8.21,148.73,150.00,84.00,2.00
orange,8.21,148.73,144.00,87.00,2.00
orange,8.21,148.75,150.00,61.00,2.00
orange,8.21,148.75,165.00,81.00,17.00
orange,8.21,148.75,169.00,83.00,2.00
orange,8.22,148.76,164.00,78.00,22.00
orange,8.22,148.78,151.00,78.00,16.00
orange,8.22,148.80,161.00,74.00,13.00
orange,8.22,148.80,139.00,83.00,14.00
orange,8.22,148.81,158.00,86.00,6.00
orange,8.22,148.81,160.00,64.00,5.00
orange,8.22,148.82,147.00,59.00,26.00
orange,8.22,148.82,153.00,95.00,2.00
orange,8.22,148.82,159.00,78.00,2.00
orange,8.22,148.84,160.00,58.00,2.00
orange,8.22,148.85,153.00,79.00,18.00
orange,8.22,148.86,162.00,69.00,14.00
orange,8.22,148.87,150.00,54.00,2.00
orange,8.22,148.88,164.00,93.00,18.00
orange,8.22,148.89,150.00,89.00,23.00
orange,8.22,148.90,149.00,74.00,2.00
orange,8.23,148.91,145.00,79.00,11.00
orange,8.23,148.91,171.00,90.00,11.00
orange,8.23,148.92,158.00,70.00,2.00
orange,8.23,148.93,160.00,86.00,4.00
orange,8.23,148.96,170.00,73.00,13.00
orange,8.23,148.96,162.00,76.00,2.00
orange,8.23,148.96,149.00,85.00,2.00
orange,8.23,148.97,158.00,90.00,29.00
orange,8.23,148.97,166.00,68.00,2.00
orange,8.23,148.98,169.00,84.00,2.00
orange,8.23,149.02,182.00,69.00,6.00
orange,8.23,149.02,144.00,74.00,15.00
orange,8.23,149.03,133.00,87.00,9.00
orange,8.23,149.03,151.00,68.00,4.00
orange,8.24,149.03,166.00,87.00,17.00
orange,8.24,149.04,168.00,79.00,8.00
orange,8.24,149.05,170.00,83.00,2.00
orange,8.24,149.06,150.00,91.00,4.00
orange,8.24,149.06,176.00,72.00,2.00
orange,8.24,149.06,157.00,76.00,12.00
orange,8.24,149.07,161.00,92.00,3.00
orange,8.24,149.07,147.00,84.00,2.00
orange,8.24,149.09,134.00,79.00,19.00
orange,8.24,149.11,150.00,90.00,12.00
orange,8.24,149.11,153.00,88.00,6.00
orange,8.24,149.14,151.00,91.00,14.00
orange,8.24,149.16,159.00,83.00,2.00
orange,8.24,149.16,148.00,96.00,2.00
orange,8.24,149.18,166.00,60.00,2.00
orange,8.24,149.18,171.00,75.00,18.00
orange,8.25,149.19,169.00,87.00,4.00
orange,8.25,149.19,154.00,85.00,11.00
orange,8.25,149.21,172.00,76.00,2.00
orange,8.25,149.21,154.00,89.00,29.00
orange,8.25,149.22,162.00,80.00,2.00
orange,8.25,149.24,155.00,79.00,2.00
orange,8.25,149.24,147.00,74.00,2.00
orange,8.25,149.25,148.00,66.00,2.00
orange,8.25,149.25,163.00,70.00,12.00
orange,8.25,149.25,167.00,85.00,9.00
orange,8.25,149.26,172.00,85.00,9.00
orange,8.25,149.27,157.00,71.00,6.00
orange,8.25,149.28,163.00,91.00,2.00
orange,8.25,149.29,171.00,97.00,2.00
orange,8.25,149.29,164.00,71.00,2.00
orange,8.25,149.29,143.00,94.00,10.00
orange,8.25,149.31,171.00,88.00,13.00
orange,8.25,149.31,143.00,93.00,14.00
orange,8.25,149.32,160.00,92.00,5.00
orange,8.25,149.34,159.00,93.00,2.00
orange,8.26,149.35,139.00,83.00,2.00
orange,8.26,149.36,151.00,71.00,2.00
orange,8.26,149.36,136.00,73.00,2.00
orange,8.26,149.38,167.00,85.00,2.00
orange,8.27,149.38,163.00,84.00,2.00
orange,8.27,149.39,161.00,72.00,6.00
orange,8.27,149.43,139.00,84.00,17.00
orange,8.27,149.44,144.00,79.00,2.00
orange,8.27,149.44,148.00,67.00,2.00
orange,8.27,149.44,160.00,90.00,2.00
orange,8.27,149.44,148.00,93.00,7.00
orange,8.27,149.45,159.00,82.00,5.00
orange,8.27,149.45,158.00,84.00,2.00
orange,8.27,149.46,144.00,75.00,2.00
orange,8.27,149.46,150.00,75.00,2.00
orange,8.27,149.46,130.00,82.00,25.00
orange,8.27,149.48,143.00,89.00,7.00
orange,8.27,149.48,150.00,89.00,2.00
orange,8.27,149.49,168.00,90.00,2.00
orange,8.27,149.49,146.00,71.00,12.00
orange,8.27,149.50,139.00,79.00,7.00
orange,8.27,149.50,173.00,77.00,4.00
orange,8.28,149.50,150.00,78.00,6.00
orange,8.28,149.53,169.00,96.00,5.00
orange,8.28,149.53,167.00,89.00,2.00
orange,8.28,149.54,163.00,92.00,17.00
orange,8.28,149.54,153.00,86.00,2.00
orange,8.28,149.56,151.00,73.00,2.00
orange,8.28,149.57,153.00,65.00,23.00
orange,8.28,149.60,144.00,93.00,2.00
orange,8.29,149.60,164.00,68.00,2.00
orange,8.29,149.61,170.00,84.00,2.00
orange,8.29,149.63,161.00,83.00,2.00
orange,8.29,149.64,148.00,70.00,10.00
orange,8.29,149.66,150.00,84.00,2.00
orange,8.29,149.67,159.00,91.00,7.00
orange,8.29,149.68,158.00,90.00,6.00
orange,8.29,149.69,156.00,70.00,15.00
orange,8.29,149.69,145.00,97.00,5.00
orange,8.29,149.70,154.00,103.00,2.00
orange,8.29,149.71,139.00,83.00,10.00
orange,8.29,149.73,158.00,91.00,2.00
orange,8.29,149.74,151.00,83.00,8.00
orange,8.30,149.75,154.00,80.00,2.00
orange,8.30,149.77,147.00,82.00,14.00
orange,8.30,149.78,147.00,97.00,9.00
orange,8.30,149.78,172.00,61.00,2.00
orange,8.30,149.79,149.00,80.00,4.00
orange,8.30,149.79,143.00,90.00,2.00
orange,8.30,149.80,164.00,86.00,2.00
orange,8.30,149.81,158.00,96.00,13.00
orange,8.30,149.81,137.00,76.00,2.00
orange,8.30,149.81,148.00,94.00,2.00
orange,8.30,149.82,164.00,88.00,8.00
orange,8.31,149.82,171.00,95.00,4.00
orange,8.31,149.82,159.00,80.00,2.00
orange,8.31,149.83,157.00,72.00,6.00
orange,8.31,149.83,161.00,61.00,10.00
orange,8.31,149.84,158.00,83.00,12.00
orange,8.31,149.85,170.00,77.00,2.00
orange,8.31,149.86,161.00,85.00,2.00
orange,8.31,149.87,165.00,83.00,2.00
orange,8.31,149.88,164.00,100.00,2.00
orange,8.31,149.89,163.00,62.00,19.00
orange,8.31,149.90,144.00,76.00,2.00
orange,8.31,149.90,153.00,60.00,8.00
orange,8.32,149.92,148.00,98.00,2.00
orange,8.32,149.92,148.00,80.00,5.00
orange,8.32,149.93,168.00,64.00,2.00
orange,8.32,149.93,170.00,85.00,12.00
orange,8.32,149.93,154.00,92.00,10.00
orange,8.32,149.94,158.00,88.00,2.00
orange,8.32,149.95,163.00,76.00,2.00
orange,8.32,149.97,144.00,86.00,21.00
orange,8.32,149.97,144.00,89.00,8.00
orange,8.32,149.97,164.00,103.00,16.00
orange,8.32,149.98,160.00,66.00,2.00
orange,8.32,149.98,165.00,83.00,2.00
orange,8.32,149.99,167.00,77.00,2.00
orange,8.32,150.01,143.00,92.00,17.00
orange,8.32,150.04,162.00,94.00,11.00
orange,8.32,150.04,155.00,88.00,3.00
orange,8.32,150.04,163.00,92.00,2.00
orange,8.32,150.05,162.00,86.00,13.00
orange,8.32,150.06,153.00,79.00,22.00
orange,8.32,150.07,149.00,84.00,32.00
orange,8.33,150.08,161.00,89.00,16.00
orange,8.33,150.08,150.00,85.00,16.00
orange,8.33,150.09,155.00,80.00,7.00
orange,8.33,150.10,163.00,93.00,2.00
orange,8.33,150.12,132.00,89.00,2.00
orange,8.33,150.12,144.00,82.00,7.00
orange,8.33,150.13,148.00,78.00,2.00
orange,8.33,150.14,170.00,89.00,2.00
orange,8.33,150.15,155.00,79.00,19.00
orange,8.33,150.17,162.00,85.00,5.00
orange,8.33,150.18,154.00,82.00,2.00
orange,8.33,150.22,164.00,74.00,2.00
orange,8.33,150.22,171.00,83.00,8.00
orange,8.33,150.23,170.00,84.00,6.00
orange,8.33,150.23,143.00,84.00,4.00
orange,8.33,150.23,146.00,79.00,7.00
orange,8.33,150.24,156.00,62.00,2.00
orange,8.33,150.25,144.00,79.00,14.00
orange,8.33,150.25,149.00,89.00,5.00
orange,8.33,150.26,166.00,67.00,15.00
orange,8.33,150.26,147.00,91.00,2.00
orange,8.33,150.27,168.00,71.00,2.00
orange,8.33,150.29,163.00,83.00,23.00
orange,8.33,150.30,170.00,75.00,7.00
orange,8.34,150.30,151.00,99.00,2.00
orange,8.34,150.31,175.00,71.00,2.00
orange,8.34,150.35,145.00,90.00,2.00
orange,8.34,150.36,154.00,88.00,7.00
orange,8.34,150.36,159.00,73.00,14.00
orange,8.34,150.37,170.00,78.00,5.00
orange,8.34,150.39,164.00,75.00,2.00
orange,8.34,150.40,146.00,84.00,2.00
orange,8.34,150.41,161.00,79.00,10.00
orange,8.34,150.41,162.00,77.00,2.00
orange,8.34,150.42,153.00,78.00,2.00
orange,8.34,150.43,161.00,72.00,14.00
orange,8.34,150.46,170.00,79.00,5.00
orange,8.34,150.46,161.00,82.00,14.00
orange,8.34,150.48,150.00,67.00,2.00
orange,8.35,150.49,170.00,71.00,16.00
orange,8.35,150.52,159.00,95.00,8.00
orange,8.35,150.52,157.00,76.00,16.00
orange,8.35,150.53,165.00,94.00,2.00
orange,8.35,150.53,160.00,96.00,2.00
orange,8.35,150.54,163.00,86.00,21.00
orange,8.35,150.54,157.00,70.00,13.00
orange,8.35,150.55,169.00,76.00,22.00
orange,8.35,150.58,160.00,80.00,3.00
orange,8.35,150.59,167.00,91.00,2.00
orange,8.35,150.61,169.00,93.00,10.00
orange,8.35,150.63,166.00,73.00,14.00
orange,8.35,150.64,140.00,70.00,2.00
orange,8.35,150.64,146.00,73.00,7.00
orange,8.35,150.65,159.00,86.00,2.00
orange,8.36,150.65,175.00,89.00,2.00
orange,8.36,150.65,144.00,89.00,2.00
orange,8.36,150.67,145.00,86.00,7.00
orange,8.36,150.70,147.00,86.00,4.00
orange,8.36,150.72,152.00,85.00,20.00
orange,8.36,150.73,167.00,79.00,2.00
orange,8.36,150.73,148.00,76.00,2.00
orange,8.36,150.75,135.00,74.00,2.00
orange,8.36,150.76,166.00,75.00,20.00
orange,8.36,150.76,159.00,96.00,12.00
orange,8.36,150.77,149.00,86.00,2.00
orange,8.36,150.77,149.00,85.00,3.00
orange,8.36,150.78,151.00,73.00,2.00
orange,8.36,150.78,162.00,78.00,5.00
orange,8.36,150.78,156.00,79.00,2.00
orange,8.36,150.79,146.00,71.00,2.00
orange,8.36,150.80,161.00,100.00,2.00
orange,8.36,150.82,135.00,76.00,12.00
orange,8.37,150.83,158.00,70.00,8.00
orange,8.37,150.83,175.00,62.00,11.00
orange,8.37,150.84,145.00,72.00,9.00
orange,8.37,150.84,155.00,83.00,6.00
orange,8.37,150.85,154.00,87.00,7.00
orange,8.37,150.86,162.00,83.00,9.00
orange,8.37,150.88,175.00,81.00,2.00
orange,8.37,150.88,161.00,71.00,7.00
orange,8.37,150.88,158.00,87.00,7.00
orange,8.37,150.89,161.00,76.00,4.00
orange,8.37,150.90,149.00,70.00,2.00
orange,8.37,150.93,170.00,80.00,13.00
orange,8.37,150.94,154.00,76.00,6.00
orange,8.37,150.94,146.00,75.00,7.00
orange,8.38,150.95,161.00,96.00,10.00
orange,8.38,150.97,158.00,72.00,8.00
orange,8.38,150.97,161.00,95.00,15.00
orange,8.38,150.99,156.00,74.00,3.00
orange,8.38,151.01,148.00,85.00,9.00
orange,8.38,151.01,166.00,84.00,5.00
orange,8.38,151.03,170.00,105.00,3.00
orange,8.38,151.03,151.00,59.00,2.00
orange,8.38,151.04,145.00,92.00,9.00
orange,8.38,151.04,153.00,73.00,17.00
orange,8.38,151.05,154.00,66.00,2.00
orange,8.38,151.05,160.00,82.00,2.00
orange,8.38,151.09,161.00,89.00,2.00
orange,8.38,151.10,154.00,81.00,3.00
orange,8.38,151.10,159.00,85.00,2.00
orange,8.38,151.11,149.00,72.00,2.00
orange,8.38,151.11,152.00,96.00,2.00
orange,8.39,151.11,157.00,94.00,17.00
orange,8.39,151.12,139.00,69.00,7.00
orange,8.39,151.12,147.00,73.00,7.00
orange,8.39,151.13,172.00,62.00,2.00
orange,8.39,151.13,163.00,77.00,2.00
orange,8.39,151.15,169.00,85.00,17.00
orange,8.39,151.15,156.00,80.00,10.00
orange,8.39,151.16,161.00,82.00,8.00
orange,8.39,151.16,166.00,85.00,18.00
orange,8.39,151.17,168.00,65.00,27.00
orange,8.39,151.17,143.00,80.00,13.00
orange,8.39,151.21,169.00,89.00,14.00
orange,8.39,151.23,164.00,88.00,21.00
orange,8.39,151.23,155.00,84.00,6.00
orange,8.39,151.25,166.00,74.00,11.00
orange,8.39,151.26,148.00,77.00,7.00
orange,8.39,151.27,164.00,99.00,2.00
orange,8.39,151.27,157.00,85.00,2.00
orange,8.40,151.27,162.00,89.00,2.00
orange,8.40,151.30,154.00,87.00,2.00
orange,8.40,151.30,170.00,76.00,12.00
orange,8.40,151.30,157.00,83.00,18.00
orange,8.40,151.33,140.00,106.00,2.00
orange,8.40,151.34,166.00,87.00,2.00
orange,8.40,151.36,177.00,92.00,18.00
orange,8.40,151.37,144.00,65.00,15.00
orange,8.40,151.37,171.00,77.00,2.00
orange,8.40,151.37,142.00,92.00,12.00
orange,8.40,151.38,140.00,85.00,18.00
orange,8.40,151.40,155.00,75.00,2.00
orange,8.40,151.40,150.00,86.00,7.00
orange,8.40,151.41,156.00,81.00,22.00
orange,8.40,151.41,172.00,72.00,17.00
orange,8.40,151.42,149.00,89.00,7.00
orange,8.40,151.42,157.00,79.00,12.00
orange,8.40,151.43,172.00,79.00,15.00
orange,8.40,151.45,138.00,77.00,11.00
orange,8.40,151.46,160.00,90.00,2.00
orange,8.40,151.48,141.00,85.00,2.00
orange,8.40,151.51,154.00,86.00,8.00
orange,8.40,151.53,155.00,89.00,20.00
orange,8.40,151.54,156.00,72.00,2.00
orange,8.40,151.56,157.00,95.00,2.00
orange,8.40,151.57,157.00,66.00,16.00
orange,8.41,151.59,146.00,88.00,2.00
orange,8.41,151.60,160.00,83.00,16.00
orange,8.41,151.60,146.00,85.00,17.00
orange,8.41,151.61,159.00,68.00,13.00
orange,8.41,151.62,161.00,89.00,2.00
orange,8.41,151.64,149.00,88.00,2.00
orange,8.41,151.65,163.00,89.00,2.00
orange,8.41,151.66,166.00,87.00,21.00
orange,8.41,151.66,159.00,92.00,13.00
orange,8.41,151.69,153.00,93.00,3.00
orange,8.41,151.70,153.00,74.00,7.00
orange,8.42,151.70,162.00,68.00,2.00
orange,8.42,151.71,162.00,103.00,2.00
orange,8.42,151.71,152.00,105.00,2.00
orange,8.42,151.72,145.00,92.00,2.00
orange,8.42,151.72,144.00,92.00,15.00
orange,8.42,151.73,174.00,70.00,2.00
orange,8.42,151.74,151.00,88.00,2.00
orange,8.42,151.75,171.00,65.00,20.00
orange,8.42,151.75,159.00,92.00,2.00
orange,8.42,151.75,141.00,89.00,14.00
orange,8.42,151.77,159.00,81.00,4.00
orange,8.42,151.77,162.00,76.00,21.00
orange,8.42,151.77,151.00,78.00,15.00
orange,8.42,151.77,163.00,89.00,15.00
orange,8.42,151.78,167.00,94.00,2.00
orange,8.42,151.79,165.00,83.00,2.00
orange,8.42,151.79,161.00,67.00,2.00
orange,8.42,151.79,141.00,74.00,2.00
orange,8.42,151.81,173.00,93.00,6.00
orange,8.42,151.82,147.00,95.00,26.00
orange,8.42,151.83,147.00,82.00,2.00
orange,8.42,151.83,145.00,74.00,2.00
orange,8.42,151.85,158.00,76.00,23.00
orange,8.42,151.87,166.00,81.00,2.00
orange,8.42,151.88,169.00,88.00,8.00
orange,8.42,151.88,172.00,78.00,4.00
orange,8.42,151.88,163.00,77.00,2.00
orange,8.42,151.89,158.00,79.00,14.00
orange,8.42,151.90,161.00,61.00,27.00
orange,8.43,151.91,148.00,73.00,15.00
orange,8.43,151.93,160.00,90.00,18.00
orange,8.43,151.96,156.00,82.00,13.00
orange,8.43,151.96,155.00,74.00,2.00
orange,8.43,151.97,158.00,89.00,2.00
orange,8.43,151.98,179.00,63.00,8.00
orange,8.43,151.99,143.00,73.00,14.00
orange,8.43,152.00,149.00,90.00,3.00
orange,8.43,152.00,168.00,97.00,10.00
orange,8.43,152.01,165.00,59.00,8.00
orange,8.43,152.01,153.00,74.00,22.00
orange,8.43,152.02,170.00,82.00,6.00
orange,8.43,152.02,144.00,82.00,2.00
orange,8.43,152.04,166.00,55.00,3.00
orange,8.43,152.04,157.00,90.00,2.00
orange,8.43,152.05,161.00,61.00,3.00
orange,8.43,152.06,153.00,83.00,23.00
orange,8.43,152.06,162.00,99.00,4.00
orange,8.43,152.07,155.00,79.00,11.00
orange,8.43,152.07,152.00,77.00,8.00
